question_id,domain,stress_class,knowledge_scope,selected_mode,retrieval_rounds,rag_calls,mcp_calls,backend_calls,stop_reason,final_sufficient,final_evidence,final_context_chars,answer_generation_s,end_to_end_s,answer_validation_pass
Q1,5G Core,CONTINUITY,3GPP,MCP_ONLY,2,0,2,2,SUFFICIENT_EVIDENCE,True,5,10411,85.42752795699926,142.88846763699985,False
Q2,Mobility,CONTINUITY,3GPP,MCP_ONLY,3,0,3,3,SUFFICIENT_EVIDENCE,True,5,12473,85.34752975899755,157.59859255599804,False
Q3,RAN,CONTINUITY,3GPP,MCP_ONLY,2,0,2,2,SUFFICIENT_EVIDENCE,True,3,7393,83.85622212700036,122.46371589299815,False
Q4,QoS,CONTINUITY,3GPP,MCP_ONLY,2,0,2,2,SUFFICIENT_EVIDENCE,True,5,12476,86.38376135599901,145.8035061269984,False
Q5,Security,CONTINUITY,3GPP,MCP_ONLY,2,0,2,2,SUFFICIENT_EVIDENCE,True,5,12325,86.21946470599869,137.0558596230003,False
Q6,Internet Transport,CONTINUITY,TCC,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,5,11836,84.83224433200303,118.63814218999687,False
Q7,Telecom AI Research,CONTINUITY,TCC,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,5,12480,78.71720262500094,121.1068450720013,True
Q8,5G SBA + Internet Protocols,CONTINUITY,Hybrid,HYBRID,2,2,2,4,SUFFICIENT_EVIDENCE,True,5,12378,88.02721437900254,168.24439605500447,False
Q9,O-RAN Architecture,RAG_FAVOURED,RAG,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,5,12494,85.21539094600303,124.31867620199773,False
Q10,Cloud-Native 5G Core,RAG_FAVOURED,RAG,RAG_ONLY,3,3,0,3,MAX_RETRIEVAL_ROUNDS,False,5,12407,85.63037164699927,159.0736131070007,False
Q11,IETF Security,MCP_FAVOURED,MCP,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,5,11041,85.54114346700226,120.14726055099891,False
Q12,Telecom AI Research,MCP_FAVOURED,MCP,MCP_ONLY,1,0,1,1,SUFFICIENT_EVIDENCE,True,5,12466,85.1512248709987,126.06509682799515,False
Q13,5G SBA + Cloud Platform,HYBRID,Hybrid,HYBRID,3,3,3,6,MAX_RETRIEVAL_ROUNDS,False,5,7341,83.29815843600227,165.0431932529973,False
Q14,AI/ML + 5G QoS and Slicing,HYBRID,Hybrid,HYBRID,2,2,2,4,SUFFICIENT_EVIDENCE,True,5,12419,85.10927538599935,148.89509788100258,False
Q15,Cross-Layer 5G Fault Isolation,HYBRID,Hybrid,HYBRID,3,3,3,6,MAX_RETRIEVAL_ROUNDS,False,5,12484,87.42365119400347,161.9979428200022,False
Q16,Unsupported Proprietary Knowledge,RETRIEVAL_TRAP,Unsupported,RAG_ONLY,3,3,0,3,MAX_RETRIEVAL_ROUNDS,False,5,12410,39.490275262003706,109.3220298640008,True
